Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
DISTRICT DE MORGES;;;;;;;;;;;;;;;;
Aclens;2025;2026;60; - ;60;1.1;0.5;-;50;50;50;100;100;50;80;10
Allaman;2023;2026;65; - ;65;1.2; - ; - ;50;50;50;100;100;50;50; 50 cts 
Aubonne;2025;2026;67;1;68;1;0.5;-;50;50;50;100;100;50;100; -   
Ballens;2024;2026;73; - ;73;0.5;0.5;-;50;-;-;100;100;50;0.75p/Fr; -   
Berolle;2025;2026;75.5; -   ;75.5;1; - ; - ;50;50;50;100;100;50; 0.5p/Fr ; -   
Bière;2025;2026;69; - ;69;0.58; - ;-;50;50;50;100;100;50;100;10
Bougy-Villars;2025;2026;62; - ;62;1.2; - ;-;50;50;50;100;100;50;80; -   
Bremblens;2025;2026;68; -   ;68;1;0.5; - ;50; - ; - ;100;100;50;40; -   
Buchillon;2025;2026;52; - ;52;1;0.5;-;50;100;-;100;100;50;100; -   
Chavannes-le-Veyron;2024;2026;77; - ;77;1;0.5;-;50;50;-;75;100;-;30; -   
Chevilly;2025;2026;70; -   ;70;1; - ; - ;50;100;100;100;100; - ; 1.0p/Fr ; -   
Chigny;2024;2026;62; -   ;62;1;0.5; - ;50;50; - ;30;100;50; - ; -   
Clarmont;2025;2026;72; - ;72;1;0.5;-;50;50;50;50;100;50;50; -   
Cossonay;2025;2026;66; - ;66;1;0.5;-;50;100;50;100;100;50;1.0p/Fr; -   
Cuarnens;2025;2026;76; - ;76;1;0.5;-;50;50;50;100;100;50;80; -   
Denens;2025;2026;63; - ;63;1;0.5;-;50;-;-;100;100;50;50; -   
Denges;2024;2026;62; - ;62;1;0.5;-;50;100;100;100;100;50;50; -   
Dizy;2021;2026;75; - ;75;1; - ;-;50;-;-;100;100;-;50; -   
Echandens;2025;2026;60.5; - ;60.5;1;0.5;-;50;-;-;50;100;50;60; -   
Echichens;2025;2026;66; - ;66;1;0.5;-;50;100;-;100;100;50;50; -   
Eclépens;2024;2026;46; -   ;46;1;0.5; - ;30;40; - ;50;50;50;150; -   
Etoy;2025;2026;60; - ;60;1; - ;-;50;50;-;100;100;50;50;10
Féchy;2025;2026;64; -   ;64;1.3;0.5; - ;50; - ; - ;50;100;50;60; -   
Ferreyres;2024;2027;76; - ;76;1;0.5;-;50;-;-;-;-;50;60; -   
Gimel;2025;2026;73; - ;73;1.2;0.5;-;50;50;50;100;100;50;100;10
Gollion;2025;2026;74; -   ;74;1;0.5; - ;50;50;50;100;100;50;100;10
Grancy;2021;2026;70; -   ;70;1;0.5; - ;50;100;100;100;100;50;70; -   
Hautemorges ;2025;2026;68; - ;68;1;0.5;-;50;-;-;100;100;50;70; -   
La Chaux (Cossonay);2025;2026;76; - ;76;1.2;0.5;-;50;50;50;100;100;50;50;10
La Sarraz;2025;2026;70; -   ;70;1;0.5; - ;50;50; - ;100;100;50;100; -   
Lavigny;2025;2026;73; - ;73;1.5;0.5;-;50;50;50;100;100;50;80; -   
L'Isle;2025;2026;75; - ;75;1;0.5;-;50;100;100;100;100;50;100; -   
Lonay;2025;2026;55; - ;55;1;0.5;-;50;100;100;100;100;50;100; -   
Lully;2025;2026;58; - ;58;1.25;0.5;-;50;100;50;100;100;50;70; -   
Lussy-sur-Morges;2025;2026;61.5; -   ;61.5;1;0.5; - ;50;50;50;50;100;50; 1.0p/Fr ; -   
Mauraz;2024;2026;75; - ;75;1;0.5; - ;50;50;50;100;100;-;20; -   
Moiry;2025;2026;76; -   ;76;1;0.5; - ;50;100;100;100;100; - ;40; -   
Mollens;2025;2026;74; - ;74;1; - ;-;50;-;-;80;100;50;50; -   
Mont-la-Ville;2025;2026;76; -   ;76;1;0.5; - ;50; - ; - ;100;100;50;100; -   
Montricher;2024;2026;64; -   ;64;0.3; - ; - ;50;100;50;100;100;50;60; -   
Morges;2025;2026;67; - ;67;1;0.5;-;50;100;100;100;100;50;80; -   
Orny;2021;2026;73; -   ;73;0.65;0.5; - ;50;100;100;100;100;50;50; -   
Pompaples;2021;2026;66; - ;66;1; - ;-;50;30;30;100;100;50;0.50p/Fr; -   
Préverenges;2025;2026;65; - ;65;1;0.5;-;50;100;-;100;100;50;90; -   
Romanel-sur-Morges;2025;2026;56; -   ;56;1;0.5;0;50;50;50;100;100;50;100; -   
Saint-Livres;2025;2026;69; -   ;69;1;0.5;0;50;0;0;100;100;0;80; -   
Saint-Oyens;2025;2026;77; - ;77;1;0.5;-;50;-;-;70;100;-;75; -   
Saint-Prex;2025;2026;59; - ;59;1.2;0.5;-;50;100;100;100;100;50;1.50p/Fr; -   
Saubraz;2025;2026;77; - ;77;1;0.5;-;50;50;50;100;100;50;150; -   
Senarclens;2021;2026;68.5; - ;68.5;1;0.5;-;50;100;100;100;100;-;50; -   
Tolochenaz;2025;2026;64; -   ;64;1;0.5; - ;50;50; - ;100;100;50;30; -   
Vaux-sur-Morges;2024;2026;56; -   ;56;1.25;0.5; - ;50;50; - ;50;50;50;30; -   
Villars-sous-Yens;2025;2026;74; - ;74;1.2;0.5;-;50;50;50;50;100;50;100; -   
Vufflens-le-Château;2025;2026;60.5; - ;60.5;0.8;0.5;-;50;-;-;50;50;-;1.0p/Fr; -   
