Code DiDok;Désignation officielle;Désignation organisation commerciale;Moyen de transport;Canton;Commune;Numero Commune;Localité;Swiss Business Organisation ID;Commentaire OFT;Coordonnées E MN95;Coordonnées N MN95;Altitude;Lien sur la carte
8579130;Chesières, cimetière;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Chesières;ch:1:sboid:100617;;2569012;1127224;1100;46.295708564264274, 7.036489032866956
8579131;Huémoz, Bellevue;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Huémoz;ch:1:sboid:100617;;2568490;1126903;1035;46.29279666442787, 7.0297365421409275
8579128;Chesières, Hôtel du Soleil;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Chesières;ch:1:sboid:100617;;2569507.463;1127791.363;1202;46.30083501694384, 7.042881666092383
8509507;St-Triphon, Charpigny;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;St-Triphon;ch:1:sboid:100617;;2564446;1126671;412;46.290507370170886, 6.977276185709482
8510071;Villars-sur-Ollon, Hôtels;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100617;;2570631.379;1127482.207;1276;46.29810421747955, 7.057488272641054
8510070;Villars-sur-Ollon, télécabine;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Chesières;ch:1:sboid:100617;;2570443.24;1128073.702;1267;46.30341673842332, 7.0550089224956025
8510072;Villars-sur-Ollon, centre;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100617;;2570411.781;1127446.024;1251;46.29776906450613, 7.054640613217277
8510224;Chesières, Chavasses;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Chesières;ch:1:sboid:100617;;2570128.403;1128088.362;1267;46.30353465063928, 7.050921587941781
8510589;Villars-sur-Ollon, patinoire;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100617;;2570265;1127452;1223;46.29781632382253, 7.052735296148964
8510590;Chesières, Cornuit;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Chesières;ch:1:sboid:100617;;2568923;1127792;1291.9;46.300813885720096, 7.035296020875718
8508300;St-Triphon, gare;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;St-Triphon;ch:1:sboid:100617;;2564134;1125395;392;46.27901254418728, 6.973326074235732
8508334;Antagnes, Pissot;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2567080;1124979;537;46.27542157095509, 7.011575540328473
8510625;Plambuit, bifurcation;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Panex;ch:1:sboid:100617;;2568268;1130039;1128;46.32099606330637, 7.02664133745457
8530052;Lac-Noir (Petit-Chamossaire);Télé-Villars-Gryon SA;CHAIRLIFT;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100960;SBA.73.241.1;2572373;1131005;1712;46.32986768987246, 7.079881506502966
8579126;Villars-sur-Ollon, temple;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100617;;2570203;1127726;1237;46.30027833848566, 7.051913073541198
