Commune;Total logements vacants;;;;;;;Logements vacants à vendre;;;;;;;Maisons individuelles vacantes;;;;;;;Logements vacants récents;;;;;;;#VALEUR!
Morges;30;1;11;6;5;5;2;2;-;-;-;1;-;1;3;-;-;-;-;1;2;-;-;-;-;-;-;-;
Morges (district);367;21;52;79;71;54;90;153;-;13;20;28;29;63;112;-;1;6;14;23;68;28;-;8;9;8;1;2;
Morrens;10;1;1;1;3;1;3;7;1;-;1;2;-;3;6;-;-;1;2;-;3;-;-;-;-;-;-;-;
Moudon;9;-;4;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Mutrux;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Novalles;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Noville;21;3;7;7;1;1;2;2;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Nyon;37;-;7;10;9;7;4;16;-;1;3;3;6;3;7;-;-;-;2;2;3;1;-;-;-;1;-;-;
Nyon (district);692;69;101;125;155;103;139;194;5;10;21;40;44;74;220;6;8;12;26;56;112;26;2;-;5;12;1;6;
Ogens;3;-;-;-;1;1;1;3;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ollon;100;4;7;25;27;10;27;87;2;7;20;23;9;26;28;-;-;-;-;4;24;5;-;-;2;3;-;-;
Onnens;2;-;-;-;-;-;2;2;-;-;-;-;-;2;2;-;-;-;-;-;2;-;-;-;-;-;-;-;
Oppens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Orbe;35;9;4;14;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Orges;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ormont-Dessous;9;1;-;6;1;1;-;6;-;-;4;1;1;-;5;-;-;3;1;1;-;2;-;-;2;-;-;-;
